global_index,mean_msp,mean_entropy,mean_energy,p95_entropy,p05_msp,dice,miou
0,0.9270445108413696,0.39222168922424316,-4.402307033538818,0.9757229089736938,0.721691370010376,0.7334513745361811,0.6627496936355601
1,0.8964702486991882,0.4758673310279846,-4.203632354736328,1.2700927257537842,0.5440764427185059,0.5452920700562145,0.46529757220733087
2,0.9260164499282837,0.3914850354194641,-4.451242923736572,0.9427411556243896,0.7172598242759705,0.7438492800510695,0.6610612002590143
3,0.9246712923049927,0.3999320864677429,-4.411734104156494,1.0058350563049316,0.6976761221885681,0.6246584912921567,0.5479013784693569
4,0.9228352308273315,0.3985835313796997,-4.3627824783325195,1.007344365119934,0.6824378371238708,0.7177347128160206,0.6459310368250567
5,0.9192999005317688,0.41289204359054565,-4.409203052520752,1.0631670951843262,0.6468418836593628,0.7045554509402703,0.6009700562132531
6,0.9277048110961914,0.39588287472724915,-4.332726001739502,0.8987249135971069,0.7680409550666809,0.7072754466132708,0.6218204424595766
7,0.907415509223938,0.4448130130767822,-4.298399925231934,1.1462708711624146,0.6050623655319214,0.658012084813186,0.5627740644414799
8,0.926084041595459,0.3908192217350006,-4.47188663482666,0.9866300225257874,0.7085887789726257,0.6892499337778974,0.6088849699185981
9,0.9194138050079346,0.4161006212234497,-4.286182403564453,1.0815582275390625,0.6576616168022156,0.6350270126886177,0.5633787378840203
10,0.920746922492981,0.4101581573486328,-4.332216262817383,1.0544991493225098,0.6717792749404907,0.6379859532644541,0.568165216089582
11,0.9190940856933594,0.40981361269950867,-4.403676986694336,1.1017712354660034,0.6406052708625793,0.5376291085000303,0.48301963088187
12,0.9205310344696045,0.4072057604789734,-4.377783298492432,1.0257046222686768,0.671587347984314,0.783446465588675,0.6854481133519402
13,0.9180921316146851,0.41454148292541504,-4.37995719909668,1.1017690896987915,0.6372457146644592,0.7206393007651958,0.6622204498227126
14,0.9121453166007996,0.4315781891345978,-4.29799747467041,1.14841628074646,0.6005752086639404,0.7302030175489886,0.6146779693089476
15,0.9300307035446167,0.38413265347480774,-4.41890811920166,0.9056907296180725,0.7642520070075989,0.7566430568690962,0.6962711645856533
16,0.9345616102218628,0.3731226623058319,-4.453108787536621,0.7505455613136292,0.8299722671508789,0.8251589693121506,0.7719422962011935
17,0.9263420104980469,0.3973481059074402,-4.4487128257751465,1.083498477935791,0.700823187828064,0.6469743849052518,0.6094641144937337
18,0.9027597904205322,0.46139007806777954,-4.2466888427734375,1.2215005159378052,0.5736221075057983,0.6150043432627409,0.5361360503721146
19,0.9261337518692017,0.3932247757911682,-4.445910930633545,0.9988381862640381,0.7068682312965393,0.7107536201924948,0.6312114904920411
20,0.9311984181404114,0.3803766369819641,-4.455228328704834,0.8740376830101013,0.7710248231887817,0.7388766455138022,0.6798555106874212
21,0.9303721785545349,0.3847430944442749,-4.4447832107543945,0.8835543990135193,0.778287410736084,0.614156449908437,0.5575308933016668
22,0.9261946082115173,0.3944298028945923,-4.435877799987793,0.965316891670227,0.7159985303878784,0.7985122168221875,0.7091781812680268
23,0.9295995235443115,0.3895973861217499,-4.388020992279053,0.8756985068321228,0.777748167514801,0.7015710219762057,0.6284153638759954
24,0.9239403009414673,0.39899811148643494,-4.4160003662109375,0.9943463802337646,0.6962065696716309,0.7423138691434439,0.6478304489877748
25,0.9167648553848267,0.4131157398223877,-4.419386863708496,1.0941975116729736,0.6360032558441162,0.5997789643555554,0.5501994661661949
26,0.9074777364730835,0.44813352823257446,-4.263530731201172,1.2462232112884521,0.5802558064460754,0.7086868337514595,0.6063404631222262
27,0.9195581674575806,0.40883612632751465,-4.374697685241699,1.078611969947815,0.643330454826355,0.6502678419164787,0.6031612766609743
28,0.9067280292510986,0.44799986481666565,-4.287099838256836,1.2300351858139038,0.578950047492981,0.6936670804456166,0.5919187986954232
29,0.9301260113716125,0.3808249533176422,-4.460225582122803,0.8992775678634644,0.7577667236328125,0.6557428341962903,0.6016841321786237
30,0.930137038230896,0.38455337285995483,-4.4226579666137695,0.8930578231811523,0.7626267671585083,0.7417490996154953,0.6807359823350118
31,0.9028903841972351,0.45658013224601746,-4.2800068855285645,1.2642492055892944,0.5584756135940552,0.623024551611113,0.5425964684290056
32,0.931571364402771,0.3831595778465271,-4.417906761169434,0.842089831829071,0.7937277555465698,0.6416775392834939,0.5988736809051458
33,0.91688472032547,0.4177325963973999,-4.347621917724609,1.1171228885650635,0.6285704970359802,0.7671697691950654,0.6877723181794915
34,0.9244687557220459,0.3982032537460327,-4.422146320343018,0.9603639245033264,0.7212929129600525,0.7711382050774832,0.6776429282027262
35,0.9237796664237976,0.3980633318424225,-4.402508735656738,0.9629495739936829,0.7035549283027649,0.6444656439711722,0.5813794910842413
36,0.9132064580917358,0.42926254868507385,-4.3752641677856445,1.2092745304107666,0.5929169058799744,0.690159632689065,0.5841519221379513
37,0.9053336977958679,0.44112348556518555,-4.325332164764404,1.1762174367904663,0.5796623229980469,0.7093770792083817,0.6001263128117253
38,0.9201338887214661,0.40743815898895264,-4.4098076820373535,1.0548937320709229,0.6470218896865845,0.7330458108215973,0.6726596835756774
39,0.9122489094734192,0.4322546124458313,-4.35532283782959,1.15365469455719,0.6135636568069458,0.6331649752462774,0.5430390596493421
40,0.9242302179336548,0.3980484902858734,-4.405349254608154,0.9935885667800903,0.7023032307624817,0.65619903579212,0.583097499521242
41,0.9199898838996887,0.41616982221603394,-4.327970027923584,1.0835918188095093,0.6724961996078491,0.5337018092527299,0.4927740185075382
42,0.9309934377670288,0.3839273452758789,-4.395286560058594,0.8918675184249878,0.7750439047813416,0.5747418876954412,0.5168798624944564
43,0.9173017144203186,0.4182453751564026,-4.343696594238281,1.0986833572387695,0.6366627216339111,0.7573268237950603,0.6761030062409755
44,0.9233911633491516,0.4054621458053589,-4.344764709472656,1.049168586730957,0.688572108745575,0.6364550652202337,0.5580985433260337
45,0.927125096321106,0.39344123005867004,-4.4027814865112305,0.9671117663383484,0.7267329096794128,0.8029779228844961,0.7429679504521964
46,0.9181641936302185,0.4148765206336975,-4.353991985321045,1.1143382787704468,0.6396701335906982,0.6196349297836967,0.5443451968029762
47,0.9243712425231934,0.40004438161849976,-4.401101112365723,1.0174392461776733,0.6918147802352905,0.636557955093558,0.5661168331080134
48,0.91700279712677,0.41548144817352295,-4.390380859375,1.084893822669983,0.6442752480506897,0.840239392365454,0.7732646984774318
49,0.9321480989456177,0.37533891201019287,-4.468401908874512,0.8924729824066162,0.7752328515052795,0.7848935286961825,0.7342428005562194
50,0.9191604256629944,0.41020655632019043,-4.364650726318359,1.0539288520812988,0.6541692018508911,0.6496116518072633,0.5673307850605211
51,0.9245238304138184,0.40151792764663696,-4.371154308319092,1.0146851539611816,0.6992805600166321,0.8203466044133719,0.7604119700123615
52,0.9166748523712158,0.42458251118659973,-4.388023376464844,1.1135261058807373,0.6438040137290955,0.7393842008496031,0.6382602508600268
53,0.9231619834899902,0.3985103964805603,-4.3922882080078125,1.0168802738189697,0.6853159070014954,0.7197700525194825,0.6361555007744654
54,0.917015790939331,0.4206509590148926,-4.3533124923706055,1.1083996295928955,0.6412232518196106,0.6858471232898219,0.5998379733466511
55,0.9114867448806763,0.4373866319656372,-4.27621603012085,1.195657730102539,0.5989415645599365,0.6908855234035998,0.6126821590255584
56,0.9187406301498413,0.41182368993759155,-4.363216400146484,1.0549921989440918,0.6473335027694702,0.7641672741300272,0.6829344036021502
57,0.9253422617912292,0.39390596747398376,-4.362396717071533,1.0052121877670288,0.6979303359985352,0.8249481744232869,0.7298110900066929
58,0.9210984110832214,0.4036846160888672,-4.417839050292969,1.047491192817688,0.6617478132247925,0.5943270313277308,0.5354984255104113
59,0.9227778911590576,0.4021623134613037,-4.426803112030029,1.0075724124908447,0.6847207546234131,0.6674955884927164,0.5980256815676327
60,0.9132983088493347,0.4248812794685364,-4.313693523406982,1.0915144681930542,0.6192035675048828,0.6829527016259669,0.6015763961554228
61,0.9292383193969727,0.37702298164367676,-4.446986675262451,0.9337916970252991,0.7322927117347717,0.7844518902435578,0.7041097617699669
62,0.9017913341522217,0.46060580015182495,-4.297788619995117,1.3056199550628662,0.5495401620864868,0.5630065842912199,0.4925575909965979
63,0.9308713674545288,0.38338160514831543,-4.375480651855469,0.888778030872345,0.7783260941505432,0.702641220084372,0.6474480140773022
